Tue Nov  3 00:02:09 2020:	'charmap' codec can't encode character '\U0001f4c8' in position 0: character maps to <undefined>-data/ethereum-addresses-holding-32-eth-or-more-hits-new-ath-of-125540.txt
Tue Nov  3 00:02:10 2020:	'charmap' codec can't encode characters in position 107-110: character maps to <undefined>-data/eths-push-above-400-will-have-to-wait-for-the-btc-party-to-be-over.txt
Tue Nov  3 00:02:12 2020:	'charmap' codec can't encode characters in position 0-2: character maps to <undefined>-data/ethereum-miners-have-been-dumping-eth.txt
Tue Nov  3 00:02:12 2020:	'charmap' codec can't encode character '\u2754' in position 0: character maps to <undefined>-data/ethereum-miners-have-been-dumping-eth.txt
Tue Nov  3 00:02:12 2020:	'charmap' codec can't encode characters in position 0-1: character maps to <undefined>-data/ethereum-miners-have-been-dumping-eth.txt
Tue Nov  3 00:02:12 2020:	'charmap' codec can't encode characters in position 0-1: character maps to <undefined>-data/ethereum-miners-have-been-dumping-eth.txt
Tue Nov  3 00:02:12 2020:	'charmap' codec can't encode characters in position 0-1: character maps to <undefined>-data/ethereum-miners-have-been-dumping-eth.txt
Tue Nov  3 00:02:12 2020:	'charmap' codec can't encode characters in position 0-1: character maps to <undefined>-data/ethereum-miners-have-been-dumping-eth.txt
Tue Nov  3 00:02:14 2020:	'charmap' codec can't encode character '\U0001f4b5' in position 0: character maps to <undefined>-data/ethereum-eth-addresses-holding-between-1-10-rises-to-15-million.txt
Tue Nov  3 00:02:14 2020:	'charmap' codec can't encode character '\U0001f92f' in position 0: character maps to <undefined>-data/ethereum-on-track-to-become-the-1st-blockchain-to-settle-1t-in-a-year.txt
Wed Nov  4 23:18:58 2020:	'charmap' codec can't encode character '\U0001f680' in position 20: character maps to <undefined>-data/2020.txt
Wed Nov  4 23:18:58 2020:	'charmap' codec can't encode character '\U0001f680' in position 97: character maps to <undefined>-data/2020.txt
Wed Nov  4 23:18:58 2020:	'charmap' codec can't encode character '\U0001f680' in position 20: character maps to <undefined>-data/2020.txt
Wed Nov  4 23:18:58 2020:	'charmap' codec can't encode character '\U0001f680' in position 97: character maps to <undefined>-data/2020.txt
Wed Nov  4 23:18:59 2020:	'charmap' codec can't encode character '\U0001f680' in position 14: character maps to <undefined>-data/2020.txt
Wed Nov  4 23:18:59 2020:	'charmap' codec can't encode character '\U0001f680' in position 14: character maps to <undefined>-data/2020.txt
Wed Nov  4 23:19:00 2020:	'charmap' codec can't encode character '\U0001f4e3' in position 0: character maps to <undefined>-data/2020.txt
Wed Nov  4 23:19:00 2020:	'charmap' codec can't encode character '\U0001f389' in position 43: character maps to <undefined>-data/2020.txt
Wed Nov  4 23:19:00 2020:	'charmap' codec can't encode character '\u2705' in position 77: character maps to <undefined>-data/2020.txt
Wed Nov  4 23:19:00 2020:	'charmap' codec can't encode character '\ufe0f' in position 37: character maps to <undefined>-data/2020.txt
Wed Nov  4 23:19:00 2020:	'charmap' codec can't encode character '\U0001f4e3' in position 0: character maps to <undefined>-data/2020.txt
Wed Nov  4 23:19:00 2020:	'charmap' codec can't encode character '\U0001f389' in position 43: character maps to <undefined>-data/2020.txt
Wed Nov  4 23:19:00 2020:	'charmap' codec can't encode character '\u2705' in position 77: character maps to <undefined>-data/2020.txt
Wed Nov  4 23:19:00 2020:	'charmap' codec can't encode character '\ufe0f' in position 37: character maps to <undefined>-data/2020.txt
Wed Nov  4 23:19:00 2020:	'charmap' codec can't encode character '\U0001f680' in position 161: character maps to <undefined>-data/2020.txt
Wed Nov  4 23:19:00 2020:	'charmap' codec can't encode character '\U0001f680' in position 161: character maps to <undefined>-data/2020.txt
Wed Nov  4 23:19:01 2020:	'charmap' codec can't encode characters in position 0-7: character maps to <undefined>-data/2020.txt
Wed Nov  4 23:19:01 2020:	'charmap' codec can't encode characters in position 0-9: character maps to <undefined>-data/2020.txt
Wed Nov  4 23:19:01 2020:	'charmap' codec can't encode characters in position 0-21: character maps to <undefined>-data/2020.txt
Wed Nov  4 23:19:01 2020:	'charmap' codec can't encode characters in position 0-63: character maps to <undefined>-data/2020.txt
